                                                                                                                                                                                                      0                 1
                                                                                                                                                             The application was received by the EMA on     10 April 2018
                                                                                                                                                                               The procedure started on     30 April 2018
                                                                                                                       The Rapporteur's first Assessment Report was circulated to all CHMP \nmembers on       4 June 2018
                                                                                                                  The PRAC Rapporteur's first Assessment Report was circulated to all PRAC \nmembers on       4 June 2018
                                                                                                             The PRAC agreed on the PRAC Assessment Overview and Advice to CHMP \nduring the meeting on      14 June 2018
                                                                                              The CHMP agreed on the consolidated List of Questions to be sent to the \napplicant during the meeting on      28 June 2018
                                                                                                                  The applicant submitted the responses to the CHMP consolidated List of \nQuestions on 13 September 2018
                                                                  The Rapporteurs circulated the Joint Assessment Report on the \napplicant's responses to the List of Questions to all CHMP members on   22 October 2018
                                                                                                             The PRAC agreed on the PRAC Assessment Overview and Advice to CHMP \nduring the meeting on   31 October 2018
The CHMP, in the light of the overall data submitted and the scientific \ndiscussion within the Committee, issued a positive opinion for granting a \nmarketing authorisation to Silodosin Recordati on  15 November 2018
