                                                                                                                                 0                 1
                                                                                        The application was received by the EMA on   12 January 2018
                                                                                                          The procedure started on   1 February 2018
                                                  The Rapporteur's first Assessment Report was circulated to all CHMP \nmembers on     24 April 2018
                                               The Co-Rapporteur's first Assessment Report was circulated to all CHMP \nmembers on     23 April 2018
                                             The PRAC Rapporteur's first Assessment Report was circulated to all PRAC \nmembers on        7 May 2018
                         The CHMP agreed on the consolidated List of Questions to be sent to the \napplicant during the meeting on       31 May 2018
                                             The applicant submitted the responses to the CHMP consolidated List of \nQuestions on 14 September 2018
         The Rapporteurs circulated the Joint Assessment Report on the responses \nto the List of Questions to all CHMP members on   23 October 2018
                                        The PRAC agreed on the PRAC Assessment Overview and Advice to CHMP \nduring the meeting on   31 October 2018
         The CHMP agreed on a list of outstanding issues in writing and/or in an \noral explanatio> to be sent to the applicant on  15 November 2018
                                                 The applicant submitted the responses to the CHMP List of Outstanding \nIssues on  22 December 2018
The Rapporteurs circulated the Joint Assessment Report on the responses \nto the List of Outstanding Issues to all CHMP members on   15 January 2019
                                                           The CHMP, in the light of the overall data submitted and the scientific   31 January 2019
