                                                                                                                                                                                                      0                 1
                                                                                                                                                             The application was received by the EMA on     27 April 2018
                                                                                                                                                                               The procedure started on       24 May 2018
                                                                                                                       The Rapporteur's first Assessment Report was circulated to all CHMP \nmembers on    13 August 2018
                                                                                              The CHMP agreed on the consolidated List of Questions to be sent to the \napplicant during the meeting on 20 September 2018
                                                                                                                  The applicant submitted the responses to the CHMP consolidated List of \nQuestions on  29 December 2018
                                                                  The Rapporteurs circulated the Joint Assessment Report on the \napplicant's responses to the List of Questions to all CHMP members on   4 February 2019
                                                                                                             The PRAC agreed on the PRAC Assessment Overview and Advice to CHMP \nduring the meeting on  14 February 2019
                                                                                                            The CHMP agreed on a list of outstanding issues in writing to be sent to \nthe applicant on  28 February 2019
                                                                                                                      The applicant submitted the responses to the CHMP List of Outstanding \nIssues on     29 April 2019
                                                                     The Rapporteurs circulated the Joint Assessment Report on the responses \nto the List of Outstanding Issues to all CHMP members on       15 May 2019
The CHMP, in the light of the overall data submitted and the scientific \ndiscussion within the Committee, issued a positive opinion for granting a \nmarketing authorisation to Posaconazole Accord on       29 May 2019
                                                                                                            The CHMP adopted a report on similarity of Posaconazole Accord with \nCresemba (Appendix 1)       29 May 2019
                                                                                                   The Applicant for the above mentioned medicinal product was changed to \nAccord Healthcare S.L.U. on   22 January 2019
