                                                                                                                                                                                                          0                 1
                                                                                                                                                                 The application was received by the EMA on   10 January 2019
                                                                                                                                                                                   The procedure started on   30 January 2019
                                                                                                                           The Rapporteur's first Assessment Report was circulated to all CHMP \nmembers on     23 April 2019
                                                                                                                      The PRAC Rapporteur's first Assessment Report was circulated to all \nPRAC members on        2 May 2019
                                                                                                  The CHMP agreed on the consolidated List of Questions to be sent to \nthe applicant during the meeting on       29 May 2019
                                                                                                                      The applicant submitted the responses to the CHMP consolidated List of \nQuestions on    19 August 2019
                                                                                  The Rapporteurs circulated the Joint Assessment Report on the \nresponses to the List of Questions to all CHMP members on 23 September 2019
                                                                                                                 The PRAC agreed on the PRAC Assessment Overview and Advice to \nCHMP during the meeting on    3 October 2019
                                                                                                                           The CHMP agreed on a list of outstanding issues to be sent to the \napplicant on   17 October 2019
                                                                                                                          The applicant submitted the responses to the CHMP List of Outstanding \nIssues on  11 November 2019
                                                                         The Rapporteurs circulated the Joint Assessment Report on the \nresponses to the List of Outstanding Issues to all CHMP members on  27 November 2019
                                                                                                                       The CHMP agreed on a 2nd list of outstanding issues to be sent to the \napplicant on  12 December 2019
                                                                                                                      The applicant submitted the responses to the 2nd CHMP List of \nOutstanding Issues on  23 December 2019
                                                                   The Rapporteurs circulated the Joint Assessment Report on the \nresponses to the 2nd List of Outstanding Issues to all CHMP members \non   15 January 2020
The CHMP, in the light of the overall data submitted and the scientific \ndiscussion within the Committee, issued a positive opinion for granting \na marketing authorisation to Cinacalcet Accordpharma on   30 January 2020
