                                                                                                                                                0                 1
                                                                                                       The application was received by the EMA on   8 November 2019
                                                                                                                         The procedure started on  28 November 2019
                                                                 The Rapporteur's first Assessment Report was circulated to all CHMP \nmembers on  21 February 2020
                                                              The Co-Rapporteur's first Assessment Report was circulated to all CHMP \nmembers on  25 February 2020
                                                            The PRAC Rapporteur's first Assessment Report was circulated to all \nPRAC members on      2 March 2020
                                        The CHMP agreed on the consolidated List of Questions to be sent to \nthe applicant during the meeting on     26 March 2020
                                                            The applicant submitted the responses to the CHMP consolidated List of \nQuestions on      15 July 2020
                        The Rapporteurs circulated the Joint Assessment Report on the \nresponses to the List of Questions to all CHMP members on    31 August 2020
                                                      The CHMP agreed on a list of outstanding issues in writing to be sent to \nthe applicant on 17 September 2020
                                                                The applicant submitted the responses to the CHMP List of Outstanding \nIssues on  06 November 2020
               The Rapporteurs circulated the Joint Assessment Report on the \nresponses to the List of Outstanding Issues to all CHMP members on  01 December 2020
                                                  The CHMP agreed on a 2nd list of outstanding issues in writing to be \nsent to the applicant on  10 December 2020
                                                            The applicant submitted the responses to the 2nd CHMP List of \nOutstanding Issues on  30 December 2020
               The Rapporteurs circulated the Joint Assessment Report on the \nresponses to the List of Outstanding Issues to all CHMP members on   13 January 2021
The CHMP, in the light of the overall data submitted and the scientific \ndiscussion within the Committee, issued a positive opinion for granting   28 January 2021
