                                                                                                                        0                 1
                                                                               The application was received by the EMA on    9 January 2020
                                                                                                 The procedure started on   30 January 2020
                                         The Rapporteur's first Assessment Report was circulated to all CHMP \nmembers on     20 April 2020
                                      The Co-Rapporteur's first Assessment Report was circulated to all CHMP \nmembers on        5 May 2020
                                    The PRAC Rapporteur's first Assessment Report was circulated to all \nPRAC members on        4 May 2020
                The CHMP agreed on the consolidated List of Questions to be sent to \nthe applicant during the meeting on       28 May 2020
                                    The applicant submitted the responses to the CHMP consolidated List of \nQuestions on    13 August 2020
The Rapporteurs circulated the Joint Assessment Report on the \nresponses to the List of Questions to all CHMP members on 22 September 2020
                               The PRAC agreed on the PRAC Assessment Overview and Advice to \nCHMP during the meeting on    1 October 2020
The CHMP agreed on a list of outstanding issues in writing and/or in an \noral explanation to be sent to the applicant on   15 October 2020
                                        The applicant submitted the responses to the CHMP List of Outstanding \nIssues on   9 November 2020
