                                                                                                                                 0                 1
                                                                                        The application was received by the EMA on       1 July 2019
                                                                                                          The procedure started on      18 July 2019
                                                  The Rapporteur's first Assessment Report was circulated to all CHMP \nmembers on    7 October 2019
                                               The Co-Rapporteur's first Assessment Report was circulated to all CHMP \nmembers on    7 October 2019
                                             The PRAC Rapporteur's first Assessment Report was circulated to all \nPRAC members on   18 October 2019
                                        The PRAC agreed on the PRAC Assessment Overview and Advice to \nCHMP during the meeting on               N/A
                         The CHMP agreed on the consolidated List of Questions to be sent to \nthe applicant during the meeting on  14 November 2019
                                             The applicant submitted the responses to the CHMP consolidated List of \nQuestions on    17 August 2020
         The Rapporteurs circulated the Joint Assessment Report on the \nresponses to the List of Questions to all CHMP members on 21 September 2021
                                        The PRAC agreed on the PRAC Assessment Overview and Advice to \nCHMP during the meeting on    1 October 2021
The Rapporteurs circulated the Joint Assessment Report on the \nresponses to the List of Outstanding Issues to all CHMP members on    9 October 2020
                                                  The CHMP agreed on a list of outstanding issues to be sent to the \napplicant on   15 October 2020
                                                                                                                                                                                           0                     1
                                                                                                           The applicant submitted the responses to the CHMP List of Outstanding \nIssues on       27 January 2021
                                                          The Rapporteurs circulated the Joint Assessment Report on the \nresponses to the List of Outstanding Issues to all CHMP members on 12 & 18 February 2021
                                                                                                        The CHMP agreed on a 2nd list of outstanding issues to be sent to the \napplicant on      25 February 2021
                                                                                                           The applicant submitted the responses to the CHMP List of Outstanding \nIssues on         25 March 2021
                                                          The Rapporteurs circulated the Joint Assessment Report on the \nresponses to the List of Outstanding Issues to all CHMP members on    07 & 13 April 2021
The CHMP, in the light of the overall data submitted and the scientific \ndiscussion within the Committee, issued a positive opinion for granting \na marketing authorisation to Celsunax on         22 April 2021
