                                                                                                                                                                           0                 1
                                                                                                                                  The application was received by the EMA on      12 June 2020
                                                                                                                                                    The procedure started on    13 August 2020
                                                                              The CHMP Rapporteur's first Assessment Report was circulated to all \nCHMP and PRAC members on   5 November 2020
                                                                           The CHMP Co-Rapporteur's first Assessment Report was circulated to all \nCHMP and PRAC members on   3 November 2020
                                                                              The PRAC Rapporteur's first Assessment Report was circulated to all \nPRAC and CHMP members on  10 November 2020
                                                                   The CHMP agreed on the consolidated List of Questions to be sent to \nthe applicant during the meeting on  10 December 2020
                                                                                       The applicant submitted the responses to the CHMP consolidated List of \nQuestions on     21 April 2021
         The CHMP Rapporteurs circulated the CHMP and PRAC Rapporteurs Joint \nAssessment Report on the responses to the List of Questions to all \nCHMP and PRAC members on       2 June 2021
                                                                                  The PRAC agreed on the PRAC Assessment Overview and Advice to \nCHMP during the meeting on      10 June 2021
                                                   The CHMP agreed on a list of outstanding issues in writing and/or in an \noral explanation to be sent to the applicant on      24 June 2021
                                                                                           The applicant submitted the responses to the CHMP List of Outstanding \nIssues on    12 August 2021
The CHMP Rapporteurs circulated the CHMP and PRAC Rapporteurs Joint \nAssessment Report on the responses to the List of Outstanding Issues \nto all CHMP and PRAC members on  1 September 2021
                                            The CHMP agreed on a second list of outstanding issues in writing \nand/or in an oral explanation to be sent to the applicant on 16 September 2021
                                                                                           The applicant submitted the responses to the CHMP List of Outstanding \nIssues on    8 October 2021
The CHMP Rapporteurs circulated the CHMP and PRAC Rapporteurs Joint \nAssessment Report on the responses to the List of Outstanding Issues \nto all CHMP and PRAC members on   27 October 2021
                           The CHMP, in the light of the overall data submitted and the scientific \ndiscussion within the Committee, issued a positive opinion for granting  11 November 2021
