doc_path,code,chmp_output,prime_output
EU-1-21-1547_public-assessment-report_20210602_20210602_drovelis-epar-public-assessment-report.pdf.txt,EU-1-21-1547,2021-03-25,False
EU-1-19-1357_public-assessment-report_20190426_20190426_kromeya-epar-public-assessment-report.pdf.txt,EU-1-19-1357,2019-01-31,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-21-1599_public-assessment-report_20220215_20220215_vyepti-epar-public-assessment-report.pdf.txt,EU-1-21-1599,2021-09-02,"""False"""
EU-1-22-1713_public-assessment-report_20230302_20230302_imjudo-epar-public-assessment-report.pdf.txt,EU-1-22-1713,,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-20-1459_public-assessment-report_20200706_20200706_veklury-epar-public-assessment-report.pdf.txt,EU-1-20-1459,2000-06-25,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-19-1372_public-assessment-report_20190802_20190802_striascan-epar-public-assessment-report.pdf.txt,EU-1-19-1372,2019-04-26,False
EU-1-19-1406_public-assessment-report_20200206_20200206_baqsimi-epar-public-assessment-report.pdf.txt,EU-1-19-1406,2019-10-17,**False**
EU-1-20-1483_public-assessment-report_20201127_20201127_menquadfi-epar-public-assessment-report.pdf.txt,EU-1-20-1483,2020-02-27,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-20-1450_public-assessment-report_20200703_20200703_fingolimod-accord-epar-public-assessment-report.pdf.txt,EU-1-20-1450,2020-04-30,False
EU-1-19-1358_public-assessment-report_20190417_20190417_ajovy-epar-public-assessment-report.pdf.txt,EU-1-19-1358,2019-01-31,False
EU-1-23-1736_public-assessment-report_20230608_20230608_omvoh-epar-public-assessment-report.pdf.txt,EU-1-23-1736,2023-03-30,False
EU-1-19-1359_public-assessment-report_20191010_20230116_trogarzo-epar-public-assessment-report.pdf.txt,EU-1-19-1359,2019-01-25,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-21-1560_public-assessment-report_20210701_20210701_celsunax-epar-public-assessment-report.pdf.txt,EU-1-21-1560,2021-04-22,False
EU-1-22-1697_public-assessment-report_20221212_20221212_teriparatide-sun-epar-public-assessment-report.pdf.txt,EU-1-22-1697,There is no date specified in the text for when a positive opinion for granting a Marketing Authorisation was issued.,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-20-1495_public-assessment-report_20201221_20201221_palforzia-epar-public-assessment-report.pdf.txt,EU-1-20-1495,2020-10-15,False
EU-1-21-1563_public-assessment-report_20210727_20220404_skysona-epar-public-assessment-report.pdf.txt,EU-1-21-1563,2021-05-20,False
EU-1-22-1665_public-assessment-report_20230531_20230531_dabigatran-etexilate-accord-epar-public-assessment-report.pdf.txt,EU-1-22-1665,2023-03-30,False
EU-1-18-1343_public-assessment-report_20190122_20190122_silodosin-recordati-epar-public-assessment-report.pdf.txt,EU-1-18-1343,2018-11-15,False
EU-1-18-1341_public-assessment-report_20190109_20190109_ogivri-epar-public-assessment-report.pdf.txt,EU-1-18-1341,2018-10-18,False
EU-1-19-1394_public-assessment-report_20200424_20200424_tigecycline-accord-epar-public-assessment-report.pdf.txt,EU-1-19-1394,2020-02-27,False
EU-1-19-1377_public-assessment-report_20190708_20190708_talzenna-epar-public-assessment-report.pdf.txt,EU-1-19-1377,There is no explicit date provided in the text for when a positive opinion for granting a Marketing Authorisation was issued.,False
